Rowname,Crude_protein,Crude_lipid,Ash ,Energy,Feed_spill,Ag,Cr,As,Cd,Hg,Pb,Ni,Co,Mo,Se,V,Cu,Fe,Mn,Zn,Nonessential,Essential,Essential2,SumDioxinsPCB,SumPCB6,SumPBDE
45,26.71,3.29,19.76,18.5,35.9,0.12,3,2,0.97,0.03,0.7,1.7,1.4,3.7,1.9,3,22,2000,100,460,5.4,13,2582,0.373,1.03,0.24
46,28.28,28.83,21.82,18.69,NA,0.24,3,2,0.91,0.03,0.6,1.6,1.2,3.4,2.3,3,27,1900,91,430,5.14,12.9,2448,0.341,1.14,0.24
47,31.57,5.53,42.2,NA,NA,0.09,1.9,0.44,0.22,0.07,0.2,3,0.2,2.4,0.27,1.5,15,390,44,240,3.93,6.27,689,0.745,1.22,0.18
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
